phi0_omega_k,phi1_u_eff_k,phi2_bias,y_omega_k1
1.90784991,-0.10000004,1.00000000,1.90784991
1.90784991,-0.10000004,1.00000000,2.06683731
2.06683731,-0.10000004,1.00000000,1.90784991
1.90784991,-0.10000004,1.00000000,2.06683731
2.06683731,-0.10000004,1.00000000,1.90784991
1.90784991,-0.10000004,1.00000000,2.06683731
2.06683731,-0.10000004,1.00000000,1.90784991
1.90784991,-0.18000007,1.00000000,2.22582483
2.22582483,-0.25999996,1.00000000,3.02076221
3.02076221,-0.34000000,1.00000000,3.65671229
3.65671229,-0.41999990,1.00000000,4.76962471
4.76962471,-0.49999994,1.00000000,5.56456184
5.56456184,-0.49999994,1.00000000,6.35949945
6.35949945,-0.49999994,1.00000000,6.51848698
6.51848698,-0.49999994,1.00000000,6.83646202
